type,subtype,updated_type,updated_subtype,updated_subsubtype,binned_latitude,binned_longitude,alert_count
ACCIDENT,ACCIDENT_MAJOR,Accident,Major,Unclassified,41.9,-87.67,5
ACCIDENT,ACCIDENT_MAJOR,Accident,Major,Unclassified,41.9,-87.64,5
ACCIDENT,ACCIDENT_MAJOR,Accident,Major,Unclassified,41.91,-87.68,5
ROAD_CLOSED,ROAD_CLOSED_EVENT,Road_closed,Event,Unclassified,41.87,-87.66,5
ROAD_CLOSED,ROAD_CLOSED_EVENT,Road_closed,Event,Unclassified,41.89,-87.68,5
ACCIDENT,Unclassified,Accident,Unclassified,Unclassified,41.98,-87.72,5
HAZARD,HAZARD_WEATHER,Hazard,Weather,Unclassified,41.66,-87.56,5
ACCIDENT,Unclassified,Accident,Unclassified,Unclassified,42.0,-87.74,5
HAZARD,HAZARD_ON_ROAD_POT_HOLE,Hazard,On_road,Pot_hole,41.97,-87.7,5
HAZARD,HAZARD_ON_ROAD_OBJECT,Hazard,On_road,Object,41.83,-87.65,5
HAZARD,HAZARD_ON_ROAD_OBJECT,Hazard,On_road,Object,41.84,-87.74,5
